pixel_x,pixel_y,mmx,mmy,filename
91,148,98.5,115.5,DihImages_R/img_x98.5_y115.5_z185.jpg
512,485,93.5,119.5,DihImages_R/img_x93.5_y119.5_z185.jpg
765,106,90.5,115.0,DihImages_R/img_x90.5_y115.0_z185.jpg
470,401,94.0,118.5,DihImages_R/img_x94.0_y118.5_z185.jpg
1102,317,86.5,117.5,DihImages_R/img_x86.5_y117.5_z185.jpg
49,106,99.0,115.0,DihImages_R/img_x99.0_y115.0_z185.jpg
934,232,88.5,116.5,DihImages_R/img_x88.5_y116.5_z185.jpg
554,317,93.0,117.5,DihImages_R/img_x93.0_y117.5_z185.jpg
1144,485,86.0,119.5,DihImages_R/img_x86.0_y119.5_z185.jpg
1229,106,85.0,115.0,DihImages_R/img_x85.0_y115.0_z185.jpg
428,232,94.5,116.5,DihImages_R/img_x94.5_y116.5_z185.jpg
976,401,88.0,118.5,DihImages_R/img_x88.0_y118.5_z185.jpg
386,190,95.0,116.0,DihImages_R/img_x95.0_y116.0_z185.jpg
1018,443,87.5,119.0,DihImages_R/img_x87.5_y119.0_z185.jpg
1271,148,84.5,115.5,DihImages_R/img_x84.5_y115.5_z185.jpg
596,528,92.5,120.0,DihImages_R/img_x92.5_y120.0_z185.jpg
596,275,92.5,117.0,DihImages_R/img_x92.5_y117.0_z185.jpg
1397,64,83.0,114.5,DihImages_R/img_x83.0_y114.5_z185.jpg
849,359,89.5,118.0,DihImages_R/img_x89.5_y118.0_z185.jpg
49,64,99.0,114.5,DihImages_R/img_x99.0_y114.5_z185.jpg
934,275,88.5,117.0,DihImages_R/img_x88.5_y117.0_z185.jpg
934,528,88.5,120.0,DihImages_R/img_x88.5_y120.0_z185.jpg
470,443,94.0,119.0,DihImages_R/img_x94.0_y119.0_z185.jpg
217,148,97.0,115.5,DihImages_R/img_x97.0_y115.5_z185.jpg
1102,190,86.5,116.0,DihImages_R/img_x86.5_y116.0_z185.jpg
765,64,90.5,114.5,DihImages_R/img_x90.5_y114.5_z185.jpg
512,359,93.5,118.0,DihImages_R/img_x93.5_y118.0_z185.jpg
892,317,89.0,117.5,DihImages_R/img_x89.0_y117.5_z185.jpg
639,401,92.0,118.5,DihImages_R/img_x92.0_y118.5_z185.jpg
1060,232,87.0,116.5,DihImages_R/img_x87.0_y116.5_z185.jpg
344,485,95.5,119.5,DihImages_R/img_x95.5_y119.5_z185.jpg
259,106,96.5,115.0,DihImages_R/img_x96.5_y115.0_z185.jpg
849,485,89.5,119.5,DihImages_R/img_x89.5_y119.5_z185.jpg
596,232,92.5,116.5,DihImages_R/img_x92.5_y116.5_z185.jpg
1397,106,83.0,115.0,DihImages_R/img_x83.0_y115.0_z185.jpg
386,317,95.0,117.5,DihImages_R/img_x95.0_y117.5_z185.jpg
1018,401,87.5,118.5,DihImages_R/img_x87.5_y118.5_z185.jpg
976,443,88.0,119.0,DihImages_R/img_x88.0_y119.0_z185.jpg
1229,64,85.0,114.5,DihImages_R/img_x85.0_y114.5_z185.jpg
1144,359,86.0,118.0,DihImages_R/img_x86.0_y118.0_z185.jpg
428,275,94.5,117.0,DihImages_R/img_x94.5_y117.0_z185.jpg
428,528,94.5,120.0,DihImages_R/img_x94.5_y120.0_z185.jpg
554,190,93.0,116.0,DihImages_R/img_x93.0_y116.0_z185.jpg
1355,190,83.5,116.0,DihImages_R/img_x83.5_y116.0_z185.jpg
723,443,91.0,119.0,DihImages_R/img_x91.0_y119.0_z185.jpg
639,148,92.0,115.5,DihImages_R/img_x92.0_y115.5_z185.jpg
1313,275,84.0,117.0,DihImages_R/img_x84.0_y117.0_z185.jpg
344,64,95.5,114.5,DihImages_R/img_x95.5_y114.5_z185.jpg
259,359,96.5,118.0,DihImages_R/img_x96.5_y118.0_z185.jpg
1313,528,84.0,120.0,DihImages_R/img_x84.0_y120.0_z185.jpg
91,443,98.5,119.0,DihImages_R/img_x98.5_y119.0_z185.jpg
217,401,97.0,118.5,DihImages_R/img_x97.0_y118.5_z185.jpg
1187,317,85.5,117.5,DihImages_R/img_x85.5_y117.5_z185.jpg
765,485,90.5,119.5,DihImages_R/img_x90.5_y119.5_z185.jpg
512,106,93.5,115.0,DihImages_R/img_x93.5_y115.0_z185.jpg
49,485,99.0,119.5,DihImages_R/img_x99.0_y119.5_z185.jpg
1229,485,85.0,119.5,DihImages_R/img_x85.0_y119.5_z185.jpg
1144,106,86.0,115.0,DihImages_R/img_x86.0_y115.0_z185.jpg
175,232,97.5,116.5,DihImages_R/img_x97.5_y116.5_z185.jpg
807,317,90.0,117.5,DihImages_R/img_x90.0_y117.5_z185.jpg
681,528,91.5,120.0,DihImages_R/img_x91.5_y120.0_z185.jpg
681,275,91.5,117.0,DihImages_R/img_x91.5_y117.0_z185.jpg
1397,359,83.0,118.0,DihImages_R/img_x83.0_y118.0_z185.jpg
301,190,96.0,116.0,DihImages_R/img_x96.0_y116.0_z185.jpg
1271,443,84.5,119.0,DihImages_R/img_x84.5_y119.0_z185.jpg
1018,148,87.5,115.5,DihImages_R/img_x87.5_y115.5_z185.jpg
133,275,98.0,117.0,DihImages_R/img_x98.0_y117.0_z185.jpg
849,64,89.5,114.5,DihImages_R/img_x89.5_y114.5_z185.jpg
133,528,98.0,120.0,DihImages_R/img_x98.0_y120.0_z185.jpg
849,528,89.5,120.0,DihImages_R/img_x89.5_y120.0_z185.jpg
849,275,89.5,117.0,DihImages_R/img_x89.5_y117.0_z185.jpg
133,64,98.0,114.5,DihImages_R/img_x98.0_y114.5_z185.jpg
1018,190,87.5,116.0,DihImages_R/img_x87.5_y116.0_z185.jpg
301,148,96.0,115.5,DihImages_R/img_x96.0_y115.5_z185.jpg
386,443,95.0,119.0,DihImages_R/img_x95.0_y119.0_z185.jpg
596,359,92.5,118.0,DihImages_R/img_x92.5_y118.0_z185.jpg
681,64,91.5,114.5,DihImages_R/img_x91.5_y114.5_z185.jpg
976,317,88.0,117.5,DihImages_R/img_x88.0_y117.5_z185.jpg
554,401,93.0,118.5,DihImages_R/img_x93.0_y118.5_z185.jpg
175,106,97.5,115.0,DihImages_R/img_x97.5_y115.0_z185.jpg
428,485,94.5,119.5,DihImages_R/img_x94.5_y119.5_z185.jpg
1144,232,86.0,116.5,DihImages_R/img_x86.0_y116.5_z185.jpg
934,485,88.5,119.5,DihImages_R/img_x88.5_y119.5_z185.jpg
512,232,93.5,116.5,DihImages_R/img_x93.5_y116.5_z185.jpg
1102,401,86.5,118.5,DihImages_R/img_x86.5_y118.5_z185.jpg
470,317,94.0,117.5,DihImages_R/img_x94.0_y117.5_z185.jpg
892,443,89.0,119.0,DihImages_R/img_x89.0_y119.0_z185.jpg
344,528,95.5,120.0,DihImages_R/img_x95.5_y120.0_z185.jpg
344,275,95.5,117.0,DihImages_R/img_x95.5_y117.0_z185.jpg
1060,359,87.0,118.0,DihImages_R/img_x87.0_y118.0_z185.jpg
1313,64,84.0,114.5,DihImages_R/img_x84.0_y114.5_z185.jpg
639,190,92.0,116.0,DihImages_R/img_x92.0_y116.0_z185.jpg
1355,148,83.5,115.5,DihImages_R/img_x83.5_y115.5_z185.jpg
554,148,93.0,115.5,DihImages_R/img_x93.0_y115.5_z185.jpg
807,443,90.0,119.0,DihImages_R/img_x90.0_y119.0_z185.jpg
1229,528,85.0,120.0,DihImages_R/img_x85.0_y120.0_z185.jpg
175,359,97.5,118.0,DihImages_R/img_x97.5_y118.0_z185.jpg
428,64,94.5,114.5,DihImages_R/img_x94.5_y114.5_z185.jpg
1229,275,85.0,117.0,DihImages_R/img_x85.0_y117.0_z185.jpg
1271,317,84.5,117.5,DihImages_R/img_x84.5_y117.5_z185.jpg
301,401,96.0,118.5,DihImages_R/img_x96.0_y118.5_z185.jpg
1397,232,83.0,116.5,DihImages_R/img_x83.0_y116.5_z185.jpg
596,106,92.5,115.0,DihImages_R/img_x92.5_y115.0_z185.jpg
681,485,91.5,119.5,DihImages_R/img_x91.5_y119.5_z185.jpg
133,485,98.0,119.5,DihImages_R/img_x98.0_y119.5_z185.jpg
259,232,96.5,116.5,DihImages_R/img_x96.5_y116.5_z185.jpg
1060,106,87.0,115.0,DihImages_R/img_x87.0_y115.0_z185.jpg
1313,485,84.0,119.5,DihImages_R/img_x84.0_y119.5_z185.jpg
723,317,91.0,117.5,DihImages_R/img_x91.0_y117.5_z185.jpg
1355,401,83.5,118.5,DihImages_R/img_x83.5_y118.5_z185.jpg
91,317,98.5,117.5,DihImages_R/img_x98.5_y117.5_z185.jpg
765,275,90.5,117.0,DihImages_R/img_x90.5_y117.0_z185.jpg
765,528,90.5,120.0,DihImages_R/img_x90.5_y120.0_z185.jpg
1102,148,86.5,115.5,DihImages_R/img_x86.5_y115.5_z185.jpg
1187,443,85.5,119.0,DihImages_R/img_x85.5_y119.0_z185.jpg
217,190,97.0,116.0,DihImages_R/img_x97.0_y116.0_z185.jpg
49,528,99.0,120.0,DihImages_R/img_x99.0_y120.0_z185.jpg
934,64,88.5,114.5,DihImages_R/img_x88.5_y114.5_z185.jpg
49,275,99.0,117.0,DihImages_R/img_x99.0_y117.0_z185.jpg
91,485,98.5,119.5,DihImages_R/img_x98.5_y119.5_z185.jpg
259,401,96.5,118.5,DihImages_R/img_x96.5_y118.5_z185.jpg
1313,317,84.0,117.5,DihImages_R/img_x84.0_y117.5_z185.jpg
723,485,91.0,119.5,DihImages_R/img_x91.0_y119.5_z185.jpg
639,106,92.0,115.0,DihImages_R/img_x92.0_y115.0_z185.jpg
1355,232,83.5,116.5,DihImages_R/img_x83.5_y116.5_z185.jpg
49,443,99.0,119.0,DihImages_R/img_x99.0_y119.0_z185.jpg
765,443,90.5,119.0,DihImages_R/img_x90.5_y119.0_z185.jpg
512,148,93.5,115.5,DihImages_R/img_x93.5_y115.5_z185.jpg
1187,275,85.5,117.0,DihImages_R/img_x85.5_y117.0_z185.jpg
470,64,94.0,114.5,DihImages_R/img_x94.0_y114.5_z185.jpg
217,359,97.0,118.0,DihImages_R/img_x97.0_y118.0_z185.jpg
1187,528,85.5,120.0,DihImages_R/img_x85.5_y120.0_z185.jpg
976,64,88.0,114.5,DihImages_R/img_x88.0_y114.5_z185.jpg
807,528,90.0,120.0,DihImages_R/img_x90.0_y120.0_z185.jpg
807,275,90.0,117.0,DihImages_R/img_x90.0_y117.0_z185.jpg
175,190,97.5,116.0,DihImages_R/img_x97.5_y116.0_z185.jpg
1229,443,85.0,119.0,DihImages_R/img_x85.0_y119.0_z185.jpg
1144,148,86.0,115.5,DihImages_R/img_x86.0_y115.5_z185.jpg
133,317,98.0,117.5,DihImages_R/img_x98.0_y117.5_z185.jpg
1271,485,84.5,119.5,DihImages_R/img_x84.5_y119.5_z185.jpg
1018,106,87.5,115.0,DihImages_R/img_x87.5_y115.0_z185.jpg
301,232,96.0,116.5,DihImages_R/img_x96.0_y116.5_z185.jpg
1397,401,83.0,118.5,DihImages_R/img_x83.0_y118.5_z185.jpg
681,317,91.5,117.5,DihImages_R/img_x91.5_y117.5_z185.jpg
512,401,93.5,118.5,DihImages_R/img_x93.5_y118.5_z185.jpg
1102,232,86.5,116.5,DihImages_R/img_x86.5_y116.5_z185.jpg
470,485,94.0,119.5,DihImages_R/img_x94.0_y119.5_z185.jpg
217,106,97.0,115.0,DihImages_R/img_x97.0_y115.0_z185.jpg
934,317,88.5,117.5,DihImages_R/img_x88.5_y117.5_z185.jpg
344,443,95.5,119.0,DihImages_R/img_x95.5_y119.0_z185.jpg
259,148,96.5,115.5,DihImages_R/img_x96.5_y115.5_z185.jpg
1060,190,87.0,116.0,DihImages_R/img_x87.0_y116.0_z185.jpg
723,64,91.0,114.5,DihImages_R/img_x91.0_y114.5_z185.jpg
639,359,92.0,118.0,DihImages_R/img_x92.0_y118.0_z185.jpg
91,64,98.5,114.5,DihImages_R/img_x98.5_y114.5_z185.jpg
892,275,89.0,117.0,DihImages_R/img_x89.0_y117.0_z185.jpg
892,528,89.0,120.0,DihImages_R/img_x89.0_y120.0_z185.jpg
1271,64,84.5,114.5,DihImages_R/img_x84.5_y114.5_z185.jpg
1018,359,87.5,118.0,DihImages_R/img_x87.5_y118.0_z185.jpg
386,275,95.0,117.0,DihImages_R/img_x95.0_y117.0_z185.jpg
386,528,95.0,120.0,DihImages_R/img_x95.0_y120.0_z185.jpg
1397,148,83.0,115.5,DihImages_R/img_x83.0_y115.5_z185.jpg
596,190,92.5,116.0,DihImages_R/img_x92.5_y116.0_z185.jpg
849,443,89.5,119.0,DihImages_R/img_x89.5_y119.0_z185.jpg
554,232,93.0,116.5,DihImages_R/img_x93.0_y116.5_z185.jpg
428,317,94.5,117.5,DihImages_R/img_x94.5_y117.5_z185.jpg
1144,401,86.0,118.5,DihImages_R/img_x86.0_y118.5_z185.jpg
976,485,88.0,119.5,DihImages_R/img_x88.0_y119.5_z185.jpg
1229,317,85.0,117.5,DihImages_R/img_x85.0_y117.5_z185.jpg
175,401,97.5,118.5,DihImages_R/img_x97.5_y118.5_z185.jpg
554,106,93.0,115.0,DihImages_R/img_x93.0_y115.0_z185.jpg
807,485,90.0,119.5,DihImages_R/img_x90.0_y119.5_z185.jpg
133,443,98.0,119.0,DihImages_R/img_x98.0_y119.0_z185.jpg
596,148,92.5,115.5,DihImages_R/img_x92.5_y115.5_z185.jpg
681,443,91.5,119.0,DihImages_R/img_x91.5_y119.0_z185.jpg
1397,190,83.0,116.0,DihImages_R/img_x83.0_y116.0_z185.jpg
1271,528,84.5,120.0,DihImages_R/img_x84.5_y120.0_z185.jpg
301,359,96.0,118.0,DihImages_R/img_x96.0_y118.0_z185.jpg
386,64,95.0,114.5,DihImages_R/img_x95.0_y114.5_z185.jpg
1271,275,84.5,117.0,DihImages_R/img_x84.5_y117.0_z185.jpg
91,528,98.5,120.0,DihImages_R/img_x98.5_y120.0_z185.jpg
892,64,89.0,114.5,DihImages_R/img_x89.0_y114.5_z185.jpg
91,275,98.5,117.0,DihImages_R/img_x98.5_y117.0_z185.jpg
1355,359,83.5,118.0,DihImages_R/img_x83.5_y118.0_z185.jpg
723,275,91.0,117.0,DihImages_R/img_x91.0_y117.0_z185.jpg
723,528,91.0,120.0,DihImages_R/img_x91.0_y120.0_z185.jpg
1060,148,87.0,115.5,DihImages_R/img_x87.0_y115.5_z185.jpg
1313,443,84.0,119.0,DihImages_R/img_x84.0_y119.0_z185.jpg
259,190,96.5,116.0,DihImages_R/img_x96.5_y116.0_z185.jpg
49,317,99.0,117.5,DihImages_R/img_x99.0_y117.5_z185.jpg
217,232,97.0,116.5,DihImages_R/img_x97.0_y116.5_z185.jpg
1102,106,86.5,115.0,DihImages_R/img_x86.5_y115.0_z185.jpg
1187,485,85.5,119.5,DihImages_R/img_x85.5_y119.5_z185.jpg
765,317,90.5,117.5,DihImages_R/img_x90.5_y117.5_z185.jpg
596,401,92.5,118.5,DihImages_R/img_x92.5_y118.5_z185.jpg
301,106,96.0,115.0,DihImages_R/img_x96.0_y115.0_z185.jpg
386,485,95.0,119.5,DihImages_R/img_x95.0_y119.5_z185.jpg
1018,232,87.5,116.5,DihImages_R/img_x87.5_y116.5_z185.jpg
849,317,89.5,117.5,DihImages_R/img_x89.5_y117.5_z185.jpg
1144,190,86.0,116.0,DihImages_R/img_x86.0_y116.0_z185.jpg
175,148,97.5,115.5,DihImages_R/img_x97.5_y115.5_z185.jpg
428,443,94.5,119.0,DihImages_R/img_x94.5_y119.0_z185.jpg
554,359,93.0,118.0,DihImages_R/img_x93.0_y118.0_z185.jpg
807,64,90.0,114.5,DihImages_R/img_x90.0_y114.5_z185.jpg
976,528,88.0,120.0,DihImages_R/img_x88.0_y120.0_z185.jpg
976,275,88.0,117.0,DihImages_R/img_x88.0_y117.0_z185.jpg
470,528,94.0,120.0,DihImages_R/img_x94.0_y120.0_z185.jpg
470,275,94.0,117.0,DihImages_R/img_x94.0_y117.0_z185.jpg
1102,359,86.5,118.0,DihImages_R/img_x86.5_y118.0_z185.jpg
1187,64,85.5,114.5,DihImages_R/img_x85.5_y114.5_z185.jpg
512,190,93.5,116.0,DihImages_R/img_x93.5_y116.0_z185.jpg
934,443,88.5,119.0,DihImages_R/img_x88.5_y119.0_z185.jpg
1355,106,83.5,115.0,DihImages_R/img_x83.5_y115.0_z185.jpg
639,232,92.0,116.5,DihImages_R/img_x92.0_y116.5_z185.jpg
1060,401,87.0,118.5,DihImages_R/img_x87.0_y118.5_z185.jpg
344,317,95.5,117.5,DihImages_R/img_x95.5_y117.5_z185.jpg
892,485,89.0,119.5,DihImages_R/img_x89.0_y119.5_z185.jpg
976,232,88.0,116.5,DihImages_R/img_x88.0_y116.5_z185.jpg
807,106,90.0,115.0,DihImages_R/img_x90.0_y115.0_z185.jpg
554,485,93.0,119.5,DihImages_R/img_x93.0_y119.5_z185.jpg
1144,317,86.0,117.5,DihImages_R/img_x86.0_y117.5_z185.jpg
428,401,94.5,118.5,DihImages_R/img_x94.5_y118.5_z185.jpg
133,148,98.0,115.5,DihImages_R/img_x98.0_y115.5_z185.jpg
849,190,89.5,116.0,DihImages_R/img_x89.5_y116.0_z185.jpg
1018,528,87.5,120.0,DihImages_R/img_x87.5_y120.0_z185.jpg
386,359,95.0,118.0,DihImages_R/img_x95.0_y118.0_z185.jpg
301,64,96.0,114.5,DihImages_R/img_x96.0_y114.5_z185.jpg
1018,275,87.5,117.0,DihImages_R/img_x87.5_y117.0_z185.jpg
681,148,91.5,115.5,DihImages_R/img_x91.5_y115.5_z185.jpg
596,443,92.5,119.0,DihImages_R/img_x92.5_y119.0_z185.jpg
892,359,89.0,118.0,DihImages_R/img_x89.0_y118.0_z185.jpg
1313,148,84.0,115.5,DihImages_R/img_x84.0_y115.5_z185.jpg
1060,443,87.0,119.0,DihImages_R/img_x87.0_y119.0_z185.jpg
344,190,95.5,116.0,DihImages_R/img_x95.5_y116.0_z185.jpg
1355,64,83.5,114.5,DihImages_R/img_x83.5_y114.5_z185.jpg
639,275,92.0,117.0,DihImages_R/img_x92.0_y117.0_z185.jpg
639,528,92.0,120.0,DihImages_R/img_x92.0_y120.0_z185.jpg
934,401,88.5,118.5,DihImages_R/img_x88.5_y118.5_z185.jpg
512,317,93.5,117.5,DihImages_R/img_x93.5_y117.5_z185.jpg
470,232,94.0,116.5,DihImages_R/img_x94.0_y116.5_z185.jpg
1187,106,85.5,115.0,DihImages_R/img_x85.5_y115.0_z185.jpg
1102,485,86.5,119.5,DihImages_R/img_x86.5_y119.5_z185.jpg
386,106,95.0,115.0,DihImages_R/img_x95.0_y115.0_z185.jpg
301,485,96.0,119.5,DihImages_R/img_x96.0_y119.5_z185.jpg
1271,232,84.5,116.5,DihImages_R/img_x84.5_y116.5_z185.jpg
681,401,91.5,118.5,DihImages_R/img_x91.5_y118.5_z185.jpg
1397,317,83.0,117.5,DihImages_R/img_x83.0_y117.5_z185.jpg
133,401,98.0,118.5,DihImages_R/img_x98.0_y118.5_z185.jpg
807,359,90.0,118.0,DihImages_R/img_x90.0_y118.0_z185.jpg
554,64,93.0,114.5,DihImages_R/img_x93.0_y114.5_z185.jpg
1229,190,85.0,116.0,DihImages_R/img_x85.0_y116.0_z185.jpg
428,148,94.5,115.5,DihImages_R/img_x94.5_y115.5_z185.jpg
175,443,97.5,119.0,DihImages_R/img_x97.5_y119.0_z185.jpg
765,190,90.5,116.0,DihImages_R/img_x90.5_y116.0_z185.jpg
217,528,97.0,120.0,DihImages_R/img_x97.0_y120.0_z185.jpg
217,275,97.0,117.0,DihImages_R/img_x97.0_y117.0_z185.jpg
1187,359,85.5,118.0,DihImages_R/img_x85.5_y118.0_z185.jpg
1102,64,86.5,114.5,DihImages_R/img_x86.5_y114.5_z185.jpg
49,190,99.0,116.0,DihImages_R/img_x99.0_y116.0_z185.jpg
934,148,88.5,115.5,DihImages_R/img_x88.5_y115.5_z185.jpg
1313,401,84.0,118.5,DihImages_R/img_x84.0_y118.5_z185.jpg
259,317,96.5,117.5,DihImages_R/img_x96.5_y117.5_z185.jpg
1355,485,83.5,119.5,DihImages_R/img_x83.5_y119.5_z185.jpg
723,232,91.0,116.5,DihImages_R/img_x91.0_y116.5_z185.jpg
892,106,89.0,115.0,DihImages_R/img_x89.0_y115.0_z185.jpg
91,232,98.5,116.5,DihImages_R/img_x98.5_y116.5_z185.jpg
91,106,98.5,115.0,DihImages_R/img_x98.5_y115.0_z185.jpg
892,232,89.0,116.5,DihImages_R/img_x89.0_y116.5_z185.jpg
639,485,92.0,119.5,DihImages_R/img_x92.0_y119.5_z185.jpg
723,106,91.0,115.0,DihImages_R/img_x91.0_y115.0_z185.jpg
344,401,95.5,118.5,DihImages_R/img_x95.5_y118.5_z185.jpg
1060,317,87.0,117.5,DihImages_R/img_x87.0_y117.5_z185.jpg
934,190,88.5,116.0,DihImages_R/img_x88.5_y116.0_z185.jpg
49,148,99.0,115.5,DihImages_R/img_x99.0_y115.5_z185.jpg
1102,275,86.5,117.0,DihImages_R/img_x86.5_y117.0_z185.jpg
217,64,97.0,114.5,DihImages_R/img_x97.0_y114.5_z185.jpg
470,359,94.0,118.0,DihImages_R/img_x94.0_y118.0_z185.jpg
1102,528,86.5,120.0,DihImages_R/img_x86.5_y120.0_z185.jpg
512,443,93.5,119.0,DihImages_R/img_x93.5_y119.0_z185.jpg
765,148,90.5,115.5,DihImages_R/img_x90.5_y115.5_z185.jpg
976,359,88.0,118.0,DihImages_R/img_x88.0_y118.0_z185.jpg
428,190,94.5,116.0,DihImages_R/img_x94.5_y116.0_z185.jpg
1144,443,86.0,119.0,DihImages_R/img_x86.0_y119.0_z185.jpg
1229,148,85.0,115.5,DihImages_R/img_x85.0_y115.5_z185.jpg
